ids,names,popularity,followers,genres,first_release,last_release,num_releases,num_tracks,monthly_listeners
2P3aLwJ41aRYkyFFw2FRM7,sam concepcion,45,168497,opm,2007,2023,20,1,583900
2FCVB3cfCC0e3O8G7Gs8t6,bleib modern,28,23349,"dark post-punk, modern goth",2014,2024,14,3,40842
3ZaPFQ05J5qSM5I3Smbp44,tevvez,58,259154,gym hardstyle,2018,2024,20,1,1521671
71WUmUmWWaqqGtVP8MlPJb,semi.official,4,1050,"abstract hip hop, minnesota hip hop",2003,2003,1,17,820
0MVM5Khj39EkpVtLvU9Ujp,ovsicori,4,316,ambient,2017,2023,8,5,1025
55W9eEQHMVGsaEdIehg0VZ,bill cornish,0,33," jazz , rock , orchestral ",2003,2024,12,14,18
38aJccTPkdNbEU7MVQ2n5b,the remus lupins,8,7246,wrock,2007,2009,3,19,1453
7AoL3NXROgMCIoE8ATI8tf,duke tumatoe & the power trio,2,391," blues , blues ",1989,2012,2,8,211
1TuQVlt2pf14yyNcXunZYt,whilst,44,466,modern,2023,2024,20,1,490442
3p3KAZ6zqhFkkH5ZdTuS5X,lunachicks,30,63516,"riot grrrl, underground grunge",1990,2016,7,3,40474
1ekl5lTa5idAB1Tz04p3Ue,double handsome dragons,0,400,"atmospheric post-rock, british post-rock",2011,2011,1,6,107
1BCUHvti8crTWtc0h0U4W4,hiro kone,19,10890,"mandible, new isolationism, spectra",2011,2021,7,4,13050
2iCpXbyRRpN1IMRUkuSyGA,capital monkey,28,23908,"progressive psytrance, psychedelic trance, trance brasileiro",2016,2024,20,1,47809
1JYo8vxqPyhbdrmBx0UIhh,rauhatäti,3,747,suomirap,2013,2019,7,1,398
28Ky95tmlHktB96DBUoB0g,tristam,49,215583,"brostep, complextro, dancefloor dnb, edm, filthstep, gaming edm",2012,2021,20,1,646395
0wwX6lGL0Nwexmp2ht3zmB,mr. freak ska,11,1420,ska catala,2011,2023,8,4,1388
3RyVfqwQOd0gFnQS0qY8ao,machine men,7,2045,finnish heavy metal,2002,2007,4,5,1314
357MjItPR9emybXtEL1Trf,soft black,1,485,deep indie pop,2007,2020,7,1,251
2hSyEBc9TBb9j38FOCdkIf,aaron dessner,35,9693," indie , country , rock , modern ",2014,2021,7,1,60491
1N9OI91qxIC0TE69T4MPXS,zacks nkosi,4,807,south african jazz,1991,1991,2,6,291
2P4lgTcDKqHKAttiTQTNyD,nadide sultan,28,9750,deep turkish pop,1997,2023,8,5,101552
